Player;Turn;Word;Length;Rack;Letters_Used;Direction;Start;Player_Score;Move_Score;Win
PLAYER_1;27;OE;2;JOORNTQ;O;Horizontal;[3, 2];150;3;-1
PLAYER_2;28;DUD;3;GYZIDDY;DD;Horizontal;[1, 10];177;20;1
PLAYER_1;29;OOT;3;JORNTQW;OT;Vertical;[15, 10];153;3;-1
PLAYER_2;30;ADZE;4;GYZIYGE;ZE;Vertical;[8, 12];201;24;1
PLAYER_1;31;WAR;3;JRNQWIA;WAR;Vertical;[10, 11];172;19;-1
PLAYER_2;32;ZIG;3;GYIYGXI;IG;Horizontal;[6, 15];214;13;1
PLAYER_1;33;IN;2;JNQIVRT;N;Vertical;[8, 13];180;8;-1
PLAYER_2;34;GAS;3;YYGXISG;GS;Horizontal;[8, 13];235;21;1
PLAYER_1;35;INTI;4;JQIVRTI;TI;Vertical;[10, 13];191;11;-1
PLAYER_2;36;IS;2;YYXIGSA;IS;Horizontal;[10, 14];242;7;1
PLAYER_1;37;IF;2;JQVRIB;I;Horizontal;[0, 9];215;24;-1
PLAYER_2;38;TAX;3;YYXGA;AX;Horizontal;[14, 13];253;11;1
PLAYER_1;39;NOVEL;5;JQVRB;V;Horizontal;[9, 8];231;16;-1
PLAYER_2;40;YA;2;YYG;Y;Vertical;[15, 11];263;10;1
PLAYER_1;41;RIF;3;JQRB;R;Horizontal;[0, 9];237;6;-1
PLAYER_1;43;BOOT;4;JQB;B;Vertical;[15, 10];243;6;-1
PLAYER_2;44;BY;2;YG;Y;Horizontal;[11, 12];277;14;1
PLAYER_1;1;DAL;3;TSDALZF;DAL;Horizontal;[7, 10];8;8;1
PLAYER_2;2;LIB;3;EEIJBDI;IB;Vertical;[10, 9];11;11;-1
PLAYER_1;3;SEAT;4;TSZFEIQ;SET;Vertical;[9, 8];17;9;1
PLAYER_2;4;DAIS;4;EEJDIAI;DAI;Horizontal;[5, 9];20;9;-1
PLAYER_1;5;BIG;3;ZFIQGER;IG;Horizontal;[9, 12];23;6;1
PLAYER_2;6;DIODE;5;EEJIWDO;DIOE;Vertical;[7, 5];27;7;-1
PLAYER_1;7;DURN;4;ZFQERNU;URN;Horizontal;[2, 9];30;7;1
PLAYER_2;8;ER;2;EJWHIPE;E;Vertical;[3, 7];29;2;-1
PLAYER_1;9;FIRE;4;ZFQEIGR;FIRE;Vertical;[10, 4];42;12;1
PLAYER_2;10;HAW;3;JWHIPEI;HW;Vertical;[7, 6];60;31;-1
PLAYER_1;11;AE;2;ZQGNDAU;A;Horizontal;[9, 5];44;2;1
PLAYER_2;12;HEP;3;JIPEIHP;HEP;Vertical;[12, 2];74;14;-1
PLAYER_1;13;NU;2;ZQGNDUC;NU;Vertical;[11, 5];57;13;1
PLAYER_2;14;TIRL;4;JIIPRLT;TIRL;Vertical;[14, 6];81;7;-1
PLAYER_1;15;ID;2;ZQGDCAA;D;Horizontal;[11, 8];62;5;1
PLAYER_2;16;OLIO;4;JIPFOOO;OIO;Horizontal;[13, 9];87;6;-1
PLAYER_1;17;AT;2;ZQGCAAT;AT;Vertical;[13, 3];74;12;1
PLAYER_2;18;GORP;4;JPFOORX;ORP;Vertical;[13, 11];101;14;-1
PLAYER_1;19;AA;2;ZQGCAAK;AA;Horizontal;[3, 9];83;9;1
PLAYER_2;20;FOE;3;JFOXEIN;FE;Horizontal;[10, 13];123;22;-1
PLAYER_1;21;PEC;3;ZQGCKEW;EC;Horizontal;[12, 14];97;14;1
PLAYER_2;22;NO;2;JOXINRU;NO;Vertical;[13, 4];132;9;-1
PLAYER_1;23;AE;2;ZQGKWMA;A;Horizontal;[10, 3];99;2;1
PLAYER_2;24;RAISE;5;JXIRUAS;RAIS;Vertical;[11, 12];146;14;-1
PLAYER_1;25;MEW;3;ZQGKWME;MEW;Vertical;[8, 13];120;21;1
PLAYER_2;26;RUB;3;JXUOUBN;UB;Horizontal;[12, 9];165;19;-1
PLAYER_1;27;YOLK;4;ZQGKLYO;YOLK;Vertical;[11, 0];160;40;1
PLAYER_2;28;NE;2;JXOUNIE;NE;Horizontal;[14, 6];169;4;-1
PLAYER_1;29;YES;3;ZQGSGEY;YES;Vertical;[9, 1];173;13;1
PLAYER_2;30;MU;2;JXOUINR;U;Horizontal;[5, 15];173;4;-1
PLAYER_1;31;GUT;3;ZQGGVTT;GT;Vertical;[7, 14];180;7;1
PLAYER_2;32;NINES;5;JXOINRS;NIS;Horizontal;[14, 7];184;11;-1
PLAYER_1;33;VERA;4;ZQGVTEN;V;Vertical;[4, 7];201;21;1
PLAYER_2;34;ARM;3;JXORVMA;ARM;Horizontal;[5, 3];200;16;-1
PLAYER_1;35;MON;3;ZQGTENO;ON;Vertical;[8, 2];219;18;1
PLAYER_2;36;CAW;3;JXOVCEL;C;Horizontal;[7, 14];211;11;-1
PLAYER_1;37;ZETA;4;ZQGTET;ZET;Vertical;[6, 0];233;14;1
PLAYER_2;38;LO;2;JXOVEL;LO;Horizontal;[13, 3];217;6;-1
PLAYER_1;39;BOG;3;QGT;G;Vertical;[15, 8];239;6;1
PLAYER_2;40;EX;2;JXVE;X;Horizontal;[3, 2];226;9;-1
PLAYER_1;41;QI;2;QT;Q;Horizontal;[3, 6];250;11;1
PLAYER_2;42;EVE;3;JVE;VE;Vertical;[15, 12];232;6;-1
PLAYER_1;43;ET;2;T;T;Horizontal;[14, 14];252;2;1
PLAYER_1;1;DAL;3;TSDALZF;DAL;Horizontal;[7, 10];8;8;1 
PLAYER_2;2;LIB;3;EEIJBDI;IB;Vertical;[10, 9];11;11;-1 
PLAYER_1;3;SEAT;4;TSZFEIQ;SET;Vertical;[9, 8];17;9;1 
PLAYER_2;4;DAIS;4;EEJDIAI;DAI;Horizontal;[5, 9];20;9;-1 
PLAYER_1;5;BIG;3;ZFIQGER;IG;Horizontal;[9, 12];23;6;1 
PLAYER_2;6;DIODE;5;EEJIWDO;DIOE;Vertical;[7, 5];27;7;-1 
PLAYER_1;7;DURN;4;ZFQERNU;URN;Horizontal;[2, 9];30;7;1 
PLAYER_2;8;ER;2;EJWHIPE;E;Vertical;[3, 7];29;2;-1 
PLAYER_1;9;FIRE;4;ZFQEIGR;FIRE;Vertical;[10, 4];42;12;1 
PLAYER_2;10;HAW;3;JWHIPEI;HW;Vertical;[7, 6];60;31;-1 
PLAYER_1;11;AE;2;ZQGNDAU;A;Horizontal;[9, 5];44;2;1 
PLAYER_2;12;HEP;3;JIPEIHP;HEP;Vertical;[12, 2];74;14;-1 
PLAYER_1;13;NU;2;ZQGNDUC;NU;Vertical;[11, 5];57;13;1 
PLAYER_2;14;TIRL;4;JIIPRLT;TIRL;Vertical;[14, 6];81;7;-1 
PLAYER_1;15;ID;2;ZQGDCAA;D;Horizontal;[11, 8];62;5;1 
PLAYER_2;16;OLIO;4;JIPFOOO;OIO;Horizontal;[13, 9];87;6;-1 
PLAYER_1;17;AT;2;ZQGCAAT;AT;Vertical;[13, 3];74;12;1 
PLAYER_2;18;GORP;4;JPFOORX;ORP;Vertical;[13, 11];101;14;-1 
PLAYER_1;19;AA;2;ZQGCAAK;AA;Horizontal;[3, 9];83;9;1 
PLAYER_2;20;FOE;3;JFOXEIN;FE;Horizontal;[10, 13];123;22;-1 
PLAYER_1;21;PEC;3;ZQGCKEW;EC;Horizontal;[12, 14];97;14;1 
PLAYER_2;22;NO;2;JOXINRU;NO;Vertical;[13, 4];132;9;-1 
PLAYER_1;23;AE;2;ZQGKWMA;A;Horizontal;[10, 3];99;2;1 
PLAYER_2;24;RAISE;5;JXIRUAS;RAIS;Vertical;[11, 12];146;14;-1 
PLAYER_1;25;MEW;3;ZQGKWME;MEW;Vertical;[8, 13];120;21;1 
PLAYER_2;26;RUB;3;JXUOUBN;UB;Horizontal;[12, 9];165;19;-1 
PLAYER_1;27;YOLK;4;ZQGKLYO;YOLK;Vertical;[11, 0];160;40;1 
PLAYER_2;28;NE;2;JXOUNIE;NE;Horizontal;[14, 6];169;4;-1 
PLAYER_1;29;YES;3;ZQGSGEY;YES;Vertical;[9, 1];173;13;1 
PLAYER_2;30;MU;2;JXOUINR;U;Horizontal;[5, 15];173;4;-1 
PLAYER_1;31;GUT;3;ZQGGVTT;GT;Vertical;[7, 14];180;7;1 
PLAYER_2;32;NINES;5;JXOINRS;NIS;Horizontal;[14, 7];184;11;-1 
PLAYER_1;33;VERA;4;ZQGVTEN;V;Vertical;[4, 7];201;21;1 
PLAYER_2;34;ARM;3;JXORVMA;ARM;Horizontal;[5, 3];200;16;-1 
PLAYER_1;35;MON;3;ZQGTENO;ON;Vertical;[8, 2];219;18;1 
PLAYER_2;36;CAW;3;JXOVCEL;C;Horizontal;[7, 14];211;11;-1 
PLAYER_1;37;ZETA;4;ZQGTET;ZET;Vertical;[6, 0];233;14;1 
PLAYER_2;38;LO;2;JXOVEL;LO;Horizontal;[13, 3];217;6;-1 
PLAYER_1;39;BOG;3;QGT;G;Vertical;[15, 8];239;6;1 
PLAYER_2;40;EX;2;JXVE;X;Horizontal;[3, 2];226;9;-1 
PLAYER_1;41;QI;2;QT;Q;Horizontal;[3, 6];250;11;1 
PLAYER_2;42;EVE;3;JVE;VE;Vertical;[15, 12];232;6;-1 
PLAYER_1;43;ET;2;T;T;Horizontal;[14, 14];252;2;1 
PLAYER_1;1;GAIT;4;GIDAVTF;GAIT;Horizontal;[7, 8];10;10;1 
PLAYER_2;2;RAIAS;5;IRRASAP;RAAS;Vertical;[10, 6];7;7;-1 
PLAYER_1;3;AGO;3;DVFONDA;AO;Vertical;[9, 4];14;4;1 
PLAYER_2;4;SPAT;4;IRPATUP;PAT;Horizontal;[9, 10];15;8;-1 
PLAYER_1;5;FAVE;4;DVFNDEY;FVE;Vertical;[12, 8];28;14;1 
PLAYER_2;6;RIN;3;IRUPOWN;IN;Horizontal;[5, 9];18;3;-1 
PLAYER_1;7;ODA;3;DNDYMTQ;D;Horizontal;[8, 7];35;7;1 
PLAYER_2;8;FUR;3;RUPOWSE;UR;Horizontal;[8, 11];26;8;-1 
PLAYER_1;9;ETYMON;6;NDYMTQO;TYMON;Horizontal;[11, 14];57;22;1 
PLAYER_2;10;OP;2;POWSEZS;OP;Horizontal;[7, 12];35;9;-1 
PLAYER_1;11;EN;2;DQUXEYN;EN;Horizontal;[10, 15];61;4;1 
PLAYER_2;12;SPATS;5;WSEZSIT;S;Horizontal;[9, 11];45;10;-1 
PLAYER_1;13;HM;2;DQUXYHE;H;Vertical;[12, 11];68;7;1 
PLAYER_2;14;SAGO;4;WEZSITA;S;Vertical;[9, 4];50;5;-1 
PLAYER_1;15;END;3;DQUXYER;D;Vertical;[13, 13];72;4;1 
PLAYER_2;16;EAT;3;WEZITAT;EAT;Horizontal;[4, 11];58;8;-1 
PLAYER_1;17;ER;2;QUXYERH;ER;Vertical;[14, 14];77;5;1 
PLAYER_2;18;ZIT;3;WZITGEE;ZIT;Vertical;[8, 12];76;18;-1 
PLAYER_1;19;YA;2;QUXYHUN;Y;Vertical;[5, 9];82;5;1 
PLAYER_2;20;WE;2;WGEEOEI;WE;Vertical;[6, 5];90;14;-1 
PLAYER_1;21;TUN;3;QUXHUNV;UN;Vertical;[14, 9];87;5;1 
PLAYER_2;22;ON;2;GEOEIEE;O;Vertical;[11, 14];92;2;-1 
PLAYER_1;23;WO;2;QXHUVAW;W;Horizontal;[9, 15];116;29;1 
PLAYER_2;24;GENE;4;GEEIEEC;GEE;Horizontal;[13, 11];97;5;-1 
PLAYER_1;25;HA;2;QXHUVAD;HA;Vertical;[14, 6];131;15;1 
PLAYER_2;26;LICE;4;IEECLLI;LICE;Horizontal;[14, 15];127;30;-1 
PLAYER_1;27;UDON;4;QXUVDEF;UD;Vertical;[11, 14];146;15;1 
PLAYER_2;28;OLEO;4;ELIOOCU;OLEO;Horizontal;[14, 7];138;11;-1 
PLAYER_1;29;FEH;3;QXVEFIO;FE;Horizontal;[12, 7];155;9;1 
PLAYER_2;30;RET;3;ICUERTR;RET;Horizontal;[2, 12];147;9;-1 
PLAYER_1;31;OX;2;QXVIOMS;OX;Horizontal;[3, 7];170;15;1 
PLAYER_2;32;AIT;3;ICURAIL;AI;Vertical;[3, 11];151;4;-1 
PLAYER_1;33;ASK;3;QVIMSKR;SK;Horizontal;[0, 14];177;7;1 
PLAYER_2;34;ALA;3;CURILBA;AL;Horizontal;[6, 5];155;4;-1 
PLAYER_1;35;VAN;3;QVIMRNJ;VN;Vertical;[8, 2];183;6;1 
PLAYER_2;36;ICE;3;CURIBEI;IC;Vertical;[13, 5];160;5;-1 
PLAYER_1;37;NIM;3;QIMRJDN;NIM;Vertical;[9, 1];194;11;1 
PLAYER_2;38;BIG;3;URBEIGO;BIG;Vertical;[4, 4];177;17;-1 
PLAYER_1;39;KI;2;QRJDLBI;I;Vertical;[2, 13];206;12;1 
PLAYER_2;40;ER;2;UREO;R;Vertical;[15, 8];179;2;-1 
PLAYER_1;41;BI;2;QRJDLB;B;Horizontal;[1, 12];214;8;1 
PLAYER_2;42;OBE;3;UEO;OE;Horizontal;[1, 6];186;7;-1 
PLAYER_1;43;QI;2;QRJDL;Q;Vertical;[15, 12];225;11;1 
PLAYER_2;44;UM;2;U;U;Horizontal;[8, 2];190;4;-1 
PLAYER_1;1;RUG;3;QIGRICU;RUG;Horizontal;[7, 9];8;8;-1 
PLAYER_2;2;WE;2;IRWETYE;WE;Horizontal;[8, 7];9;9;1 
PLAYER_1;3;GIE;3;QIICEEA;IE;Vertical;[10, 8];13;5;-1 
PLAYER_2;4;CARTE;5;IRTYECA;CARTE;Vertical;[12, 4];29;20;1 
PLAYER_1;5;IOTA;4;QICEAOF;IOA;Horizontal;[10, 6];17;4;-1 
PLAYER_2;6;GIB;3;IYRBIGA;GIB;Vertical;[11, 1];44;15;1 
PLAYER_1;7;ICE;3;QCEFITI;IC;Horizontal;[9, 9];25;8;-1 
PLAYER_2;8;CERIAS;6;YRIAESS;ERIAS;Vertical;[15, 7];71;27;1 
PLAYER_1;9;FREE;4;QEFTIEU;FEE;Horizontal;[11, 10];32;7;-1 
PLAYER_2;10;SIZY;4;YSZIULN;SZY;Vertical;[13, 2];105;34;1 
PLAYER_1;11;ZEE;3;QTIUDER;E;Horizontal;[11, 5];60;28;-1 
PLAYER_2;12;LOONS;5;IULNSOO;LOON;Horizontal;[14, 8];111;6;1 
PLAYER_1;13;REND;4;QTIUDRN;RND;Vertical;[14, 9];69;9;-1 
PLAYER_2;14;SOIL;4;IUSLIOS;SOIL;Horizontal;[14, 13];122;11;1 
PLAYER_1;15;IT;2;QTIUTRV;T;Horizontal;[8, 10];71;2;-1 
PLAYER_2;16;NARIS;5;UISAIER;ARIS;Horizontal;[12, 14];132;10;1 
PLAYER_1;17;ILL;3;QIUTRVL;L;Vertical;[15, 12];74;3;-1 
PLAYER_2;18;AG;2;UIEAATJ;A;Horizontal;[8, 2];135;3;1 
PLAYER_1;19;DO;2;QIUTRVD;D;Vertical;[15, 4];77;3;-1 
PLAYER_2;20;REI;3;UIEATJA;EI;Horizontal;[10, 12];141;6;1 
PLAYER_1;21;OR;2;QIUTRVO;OR;Horizontal;[11, 15];82;5;-1 
PLAYER_2;22;TALAR;5;UATJAAL;TALA;Vertical;[12, 14];156;15;1 
PLAYER_1;23;TUNA;4;QIUTVNT;TUN;Vertical;[9, 0];94;12;-1 
PLAYER_2;24;AL;2;UJANMHF;A;Horizontal;[13, 13];161;5;1 
PLAYER_1;25;QI;2;QIVTWAB;Q;Vertical;[11, 11];105;11;-1 
PLAYER_2;26;HUM;3;UJNMHFH;HUM;Vertical;[9, 13];175;14;1 
PLAYER_1;27;BATH;4;IVTWABM;BAT;Horizontal;[6, 14];115;10;-1 
PLAYER_2;28;HAE;3;JNFHDEX;HE;Vertical;[8, 11];182;7;1 
PLAYER_1;29;HI;2;IVWMEGE;I;Horizontal;[5, 13];122;7;-1 
PLAYER_2;30;FILL;4;JNFDXPY;F;Vertical;[15, 12];195;13;1 
PLAYER_1;31;MEG;3;VWMEGEO;MEG;Vertical;[15, 1];141;19;-1 
PLAYER_2;32;YE;2;JNDXPYT;Y;Horizontal;[13, 2];200;5;1 
PLAYER_1;33;VOGIE;5;VWEOVKO;VO;Vertical;[10, 8];151;10;-1 
PLAYER_2;34;DEV;3;JNDXPTE;DE;Horizontal;[5, 9];207;7;1 
PLAYER_1;35;UKE;3;WEVKODU;UKE;Horizontal;[4, 7];168;17;-1 
PLAYER_2;36;POUT;4;JNXPTPO;POT;Vertical;[6, 4];213;6;1 
PLAYER_1;37;NO;2;WVODNN;N;Horizontal;[3, 5];172;4;-1 
PLAYER_2;38;NA;2;JNXP;N;Horizontal;[10, 15];218;5;1 
PLAYER_1;39;OP;2;WVODN;O;Horizontal;[2, 5];178;6;-1 
PLAYER_2;40;POP;3;JXP;P;Horizontal;[2, 5];232;14;1 
PLAYER_1;41;ADD;3;WVDN;D;Horizontal;[13, 10];183;5;-1 
PLAYER_1;43;UN;2;WVN;N;Horizontal;[6, 2];185;2;-1 
PLAYER_1;1;RUG;3;QIGRICU;RUG;Horizontal;[7, 9];8;8;-1
PLAYER_2;2;WE;2;IRWETYE;WE;Horizontal;[8, 7];9;9;1
PLAYER_1;3;GIE;3;QIICEEA;IE;Vertical;[10, 8];13;5;-1
PLAYER_2;4;CARTE;5;IRTYECA;CARTE;Vertical;[12, 4];29;20;1
PLAYER_1;5;IOTA;4;QICEAOF;IOA;Horizontal;[10, 6];17;4;-1
PLAYER_2;6;GIB;3;IYRBIGA;GIB;Vertical;[11, 1];44;15;1
PLAYER_1;7;ICE;3;QCEFITI;IC;Horizontal;[9, 9];25;8;-1
PLAYER_2;8;CERIAS;6;YRIAESS;ERIAS;Vertical;[15, 7];71;27;1
PLAYER_1;9;FREE;4;QEFTIEU;FEE;Horizontal;[11, 10];32;7;-1
PLAYER_2;10;SIZY;4;YSZIULN;SZY;Vertical;[13, 2];105;34;1
PLAYER_1;11;ZEE;3;QTIUDER;E;Horizontal;[11, 5];60;28;-1
PLAYER_2;12;LOONS;5;IULNSOO;LOON;Horizontal;[14, 8];111;6;1
PLAYER_1;13;REND;4;QTIUDRN;RND;Vertical;[14, 9];69;9;-1
PLAYER_2;14;SOIL;4;IUSLIOS;SOIL;Horizontal;[14, 13];122;11;1
PLAYER_1;15;IT;2;QTIUTRV;T;Horizontal;[8, 10];71;2;-1
PLAYER_2;16;NARIS;5;UISAIER;ARIS;Horizontal;[12, 14];132;10;1
PLAYER_1;17;ILL;3;QIUTRVL;L;Vertical;[15, 12];74;3;-1
PLAYER_2;18;AG;2;UIEAATJ;A;Horizontal;[8, 2];135;3;1
PLAYER_1;19;DO;2;QIUTRVD;D;Vertical;[15, 4];77;3;-1
PLAYER_2;20;REI;3;UIEATJA;EI;Horizontal;[10, 12];141;6;1
PLAYER_1;21;OR;2;QIUTRVO;OR;Horizontal;[11, 15];82;5;-1
PLAYER_2;22;TALAR;5;UATJAAL;TALA;Vertical;[12, 14];156;15;1
PLAYER_1;23;TUNA;4;QIUTVNT;TUN;Vertical;[9, 0];94;12;-1
PLAYER_2;24;AL;2;UJANMHF;A;Horizontal;[13, 13];161;5;1
PLAYER_1;25;QI;2;QIVTWAB;Q;Vertical;[11, 11];105;11;-1
PLAYER_2;26;HUM;3;UJNMHFH;HUM;Vertical;[9, 13];175;14;1
PLAYER_1;27;BATH;4;IVTWABM;BAT;Horizontal;[6, 14];115;10;-1
PLAYER_2;28;HAE;3;JNFHDEX;HE;Vertical;[8, 11];182;7;1
PLAYER_1;29;HI;2;IVWMEGE;I;Horizontal;[5, 13];122;7;-1
PLAYER_2;30;FILL;4;JNFDXPY;F;Vertical;[15, 12];195;13;1
PLAYER_1;31;MEG;3;VWMEGEO;MEG;Vertical;[15, 1];141;19;-1
PLAYER_2;32;YE;2;JNDXPYT;Y;Horizontal;[13, 2];200;5;1
PLAYER_1;33;VOGIE;5;VWEOVKO;VO;Vertical;[10, 8];151;10;-1
PLAYER_2;34;DEV;3;JNDXPTE;DE;Horizontal;[5, 9];207;7;1
PLAYER_1;35;UKE;3;WEVKODU;UKE;Horizontal;[4, 7];168;17;-1
PLAYER_2;36;POUT;4;JNXPTPO;POT;Vertical;[6, 4];213;6;1
PLAYER_1;37;NO;2;WVODNN;N;Horizontal;[3, 5];172;4;-1
PLAYER_2;38;NA;2;JNXP;N;Horizontal;[10, 15];218;5;1
PLAYER_1;39;OP;2;WVODN;O;Horizontal;[2, 5];178;6;-1
PLAYER_2;40;POP;3;JXP;P;Horizontal;[2, 5];232;14;1
PLAYER_1;41;ADD;3;WVDN;D;Horizontal;[13, 10];183;5;-1
PLAYER_1;43;UN;2;WVN;N;Horizontal;[6, 2];185;2;-1
PLAYER_1;1;LAGS;4;VFGUSAL;LAGS;Horizontal;[7, 8];10;10;-1
PLAYER_2;2;SLED;4;ELSBLAD;LED;Vertical;[11, 7];5;5;1
PLAYER_1;3;OUTED;5;VFUOETI;OUTE;Horizontal;[10, 8];22;12;-1
PLAYER_2;4;OBOL;4;SBLAOIO;OBL;Vertical;[12, 3];17;12;1
PLAYER_1;5;ET;2;VFIUTWE;E;Vertical;[11, 5];26;4;-1
PLAYER_2;6;ANILS;5;SAIOAIN;ANIS;Horizontal;[11, 5];25;8;1
PLAYER_1;7;WAUL;4;VFIUTWL;WUL;Vertical;[14, 0];33;7;-1
PLAYER_2;8;NOILY;5;OAIONCY;NOIY;Vertical;[9, 4];46;21;1
PLAYER_1;9;NAIF;4;VFITNIA;NAIF;Vertical;[9, 2];58;25;-1
PLAYER_2;10;OM;2;AOCTMMO;OM;Vertical;[7, 1];60;14;1
